""	"Theta"	"DeltaD"	"DeltaS"	"Lambda"	"Rho"	"LogLik"	Sample
"75%"	0.0382176820819644	0.0392846967355913	7.88880972783376e-07	0.106159646071126	0.403538578917739	-151647.903975823	383202
"77.5%"	0.0382189476250692	0.0392882247253612	8.56959715414263e-07	0.106197055142673	0.403555761548054	-151647.810260954	383202
"80%"	0.0382202408257478	0.0392918072700925	9.23045186653451e-07	0.106239563577074	0.40357655415326	-151647.715444721	383202
"82.5%"	0.0382215123944497	0.0392957219424798	9.89270710461066e-07	0.106283268314645	0.40359807959396	-151647.620398274	383202
"85%"	0.0382230695714372	0.0392999286752749	1.07072098773794e-06	0.106328499285812	0.403623092389691	-151647.515350557	383202
"87.5%"	0.0382247646412578	0.0393042002232359	1.17880308226109e-06	0.106388553211446	0.403648984736984	-151647.410913664	383202
"90%"	0.0382266136210184	0.0393101762703151	1.30939903349344e-06	0.106461131448363	0.403679745685661	-151647.29891468	383202
"92.5%"	0.0382289159952253	0.0393159376626249	1.43027960068353e-06	0.106553141371607	0.403719166078651	-151647.174230396	383202
"95%"	0.0382323847145157	0.0393255882613422	1.67889207572412e-06	0.106649387363014	0.403764872310392	-151647.024329387	383202
"97.5%"	0.0382366907862211	0.0393388225941339	2.10158325351289e-06	0.106817480415457	0.403842087987586	-151646.832427752	383202
"100%"	0.0382735980516926	0.0394227918464389	4.58845180634528e-06	0.107599307862498	0.404209389796572	-151646.263995074	383202
"Mean"	0.0370180596291414	0.0523352542018236	8.84955334024506e-07	0.0862234667355539	0.410169288524546	-277397.296682597	383205
"Std."	1.38893770647074e-05	5.52064410653136e-05	8.8198092342865e-07	0.00039191530312264	0.000204839125089766	1.71816061200636	383205
"Acceptance ratio"	0.15232	0.19504	0.0829	0.17624	0.16996	0.57162	383205
"0%"	0.0369636628126664	0.0521290299192165	1.31094929868674e-09	0.0847463118371523	0.4092998927042	-277409.761156512	383205
"2.5%"	0.0369900368766126	0.052223645521492	2.53451692861541e-08	0.0854582005983128	0.409772648752435	-277401.52626446	383205
"5%"	0.0369949319377405	0.0522432358545052	5.63639431234584e-08	0.0855806034053982	0.409838291054706	-277400.563439045	383205
"7.5%"	0.0369980909373271	0.0522557767994397	7.77126914020981e-08	0.0856680485804072	0.409878744838811	-277400.026649302	383205
"10%"	0.0370001173377732	0.0522650323567824	1.05705146583377e-07	0.0857289785815957	0.409909523602576	-277399.626732533	383205
"12.5%"	0.0370019702696877	0.0522725555507169	1.23623691327826e-07	0.0857789592865321	0.409934841907075	-277399.302269464	383205
"15%"	0.0370034737404818	0.0522782225847526	1.47424453815405e-07	0.0858221050781043	0.409956401529529	-277399.032393713	383205
"17.5%"	0.0370048155067986	0.0522838811337261	1.73222445238544e-07	0.0858560632373948	0.409978703539231	-277398.800123584	383205
"20%"	0.0370064017187799	0.0522887303130436	2.05647696773586e-07	0.0858956646775983	0.409996917957595	-277398.587293684	383205
"22.5%"	0.0370075999226178	0.0522942512025753	2.29038101614782e-07	0.0859315945167788	0.410015035289459	-277398.410666412	383205
"25%"	0.037008886406905	0.0522987093107748	2.61242457486001e-07	0.0859598061778327	0.410028880467713	-277398.23577381	383205
"27.5%"	0.037009866014691	0.0523032071621665	2.79869810437585e-07	0.0859921892504562	0.410044052520245	-277398.078708445	383205
"30%"	0.0370107362133602	0.0523072663069261	3.12674934887306e-07	0.0860196813328727	0.41006207822331	-277397.930887746	383205
"32.5%"	0.0370118229316565	0.0523114771247856	3.39547968659061e-07	0.0860420583650569	0.410075679921523	-277397.791905399	383205
"35%"	0.0370127654420547	0.0523157687709446	3.70963155890812e-07	0.0860673315060813	0.410090114672055	-277397.647362718	383205
"37.5%"	0.0370137480602187	0.0523193374686848	4.04273076714852e-07	0.0860912217495267	0.410101917502248	-277397.517367985	383205
"40%"	0.0370147558223736	0.0523223971726812	4.38937869239373e-07	0.0861224126422881	0.410114989865718	-277397.403600721	383205
"42.5%"	0.0370156490293799	0.0523259599018426	4.68810357334567e-07	0.0861448320385005	0.410126816934883	-277397.279202651	383205
"45%"	0.037016686959208	0.0523289407585355	5.17662750282238e-07	0.0861711992207141	0.410138301839229	-277397.165792191	383205
"47.5%"	0.0370176126693335	0.0523323848602756	5.65571138644951e-07	0.0861957479991307	0.410149669672524	-277397.058228774	383205
"50%"	0.0370184781154777	0.0523353216005053	6.07437460670333e-07	0.0862187994827602	0.41016449891926	-277396.952145465	383205
