mild	1761	1.012344969379999	1503	2676	1645	2848	0.5	R13
moderate	24	0.6281795383873052	0	11	0	18	0.5	R13
strong	8	0.617915166845029	0	3	0	5	0.5	R13
neutral	28370	0.9470131790245945	29941	46394	33084	51135	0.5	R11
mild	1793	0.929850281818352	1505	2656	1656	2976	0.5	R11
moderate	26	0.5430804782456197	0	11	0	20	0.5	R11
strong	13	0.2699268093003332	0	3	0	11	0.5	R11
neutral	27391	1.032079124968463	30208	47342	34147	48581	0.5	R14
mild	1786	0.9679523766002394	1509	2807	1786	2936	0.5	R14
moderate	28	0.6777359161229051	0	13	1	18	0.5	R14
strong	9	4.1706825607563385	0	8	0	2	0.5	R14
neutral	27964	1.0318058294736854	28590	47548	31254	48647	0.5	R10
mild	1847	0.9894377945540442	1496	2770	1694	2845	0.5	R10
moderate	18	0.49911736822170716	0	9	0	18	0.5	R10
strong	19	1.4565480199098693	1	11	0	9	0.5	R10
neutral	27528	1.002063706085428	29570	46123	32172	50944	0.5	R15
mild	1735	0.9249654310971998	1403	2758	1676	2987	0.5	R15
moderate	20	0.4858407141918237	0	9	0	19	0.5	R15
strong	14	0.7203936669700521	0	7	0	10	0.5	R15
neutral	27255	1.0112896024221796	29061	46788	32673	47804	1.0	R17
mild	1664	0.9481956786020167	1485	2618	1723	2769	1.0	R17
moderate	17	0.36180345175801276	0	5	0	14	1.0	R17
strong							1.0	R17
neutral	27914	0.9807392657084292	29453	47858	33021	51016	0.5	R18
mild	1706	0.9929255017118753	1390	2715	1509	2931	0.5	R18
moderate	23	0.5366039913010323	0	9	0	17	0.5	R18
strong	11	1.4190194436627295	0	7	0	5	0.5	R18
neutral	27916	0.9872378310708292	31034	45655	32479	52257	0.5	R17
mild	1805	0.9426388453011028	1647	2825	1835	3137	0.5	R17
moderate	16	0.7731720322227275	1	8	0	13	0.5	R17
strong	14	0.6030741851337275	0	6	0	10	0.5	R17
neutral	27883	1.0151637802536955	28846	48507	33991	47553	0.5	R19
mild	1764	0.9478134084474664	1488	2812	1817	2878	0.5	R19
moderate	21	1.244627255861569	0	12	0	10	0.5	R19
strong	13	1.3796067919263966	0	8	0	6	0.5	R19
neutral	27633	0.95095470692172	28749	46489	32188	50648	0.5	R20
mild	1748	0.9148256867210648	1499	2627	1659	3018	0.5	R20
moderate	23	0.8461734844424061	0	11	0	13	0.5	R20
strong	17	1.641513017378885	0	13	0	8	0.5	R20
neutral	28191	0.9795634779980835	29980	48454	31876	53479	0.5	R22
mild	1835	0.9609106722900084	1444	2928	1541	3234	0.5	R22
moderate	22	0.8128489860705876	0	14	0	17	0.5	R22
strong	11	0.8225257597142849	0	5	0	6	0.5	R22
neutral	28509	0.9840842097947788	30384	46527	33569	51564	0.5	R16
mild	1796	0.9387615682346394	1573	2661	1741	3091	0.5	R16
moderate	22	1.2427346736055747	0	12	0	10	0.5	R16
strong	19	1.3540692569552266	0	13	0	10	0.5	R16
neutral	28190	1.0131350274841011	29205	50133	35029	48958	0.5	R21
mild	1769	0.9924292384405031	1520	2878	1839	2864	0.5	R21
moderate	21	1.0468348012686848	0	13	1	11	0.5	R21
strong	22	1.14200160138402	0	12	0	11	0.5	R21
neutral	29497	0.9549040093605812	31562	48868	33951	55656	0.5	R23
mild	1796	0.9906479387933594	1623	2802	1673	3178	0.5	R23
moderate	24	1.3990605857443412	0	14	0	10	0.5	R23
strong							0.5	R23
neutral	28459	1.040793326824393	30578	48430	32889	50994	0.5	R24
mild	1770	0.9156200738801942	1452	2719	1738	2926	0.5	R24
moderate	27	1.3178011577478688	1	16	0	14	0.5	R24
strong	17	0.9074281157351253	0	8	0	9	0.5	R24
neutral	27514	0.9782320706756533	27720	47901	31939	48603	0.5	R25
mild	1792	0.9891710596868509	1400	2809	1594	2841	0.5	R25
moderate	25	0.6792302421970517	0	13	0	19	0.5	R25
strong	11	0.8291221012004133	0	5	0	6	0.5	R25
neutral	27658	1.029739128031328	31284	44246	32469	51420	0.5	R26
mild	1748	0.9492121132308257	1521	2467	1622	2992	0.5	R26
moderate	24	1.1858711597903584	0	17	1	13	0.5	R26
strong	16	0.6658634854437845	0	7	0	11	0.5	R26
neutral	29110	1.0108868702696465	31347	49057	34143	53637	0.5	R28
mild	1761	1.0244589523269818	1715	2771	1842	3032	0.5	R28
moderate	36	0.7642122639149977	0	20	1	25	0.5	R28
strong	13	0.8860432045391278	0	6	0	7	0.5	R28
neutral	28112	0.975983838413612	30749	47689	34274	49863	0.5	R27
mild	1758	0.9776611412801721	1597	2810	1794	2887	0.5	R27
moderate	22	0.5085729502666031	0	12	1	21	0.5	R27
strong	11	0.5623245628964066	0	4	0	7	0.5	R27
